File name,label,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Spectral_Centroid,Spectral_Bandwidth,Spectral_Rolloff,Zero_Crossing_Rate,RMS_Energy,D1_Mean,D1_Std,D2_Mean,D2_Std,D3_Mean,D3_Std,A3_Mean,A3_Std,RMS_Envelope_Mean,Hilbert_Envelope_Mean,Max,Mean,Std,Median,Energy,Entropy,MaxFreq1,MaxFreq2,Unnamed: 38,Max.1,Mean.1,Std.1,Median.1,Energy.1,Entropy.1,MaxFreq1.1,MaxFreq2.1,Bispectrum Matrix,source_file
,healthy,-143.7107916116616,49.32648489874378,-5.84958016488258,40.40205699740526,-12.846600642888133,26.505077332776548,-2.0357099027303307,2.6692988464214147,-1.6536757482747353,13.465452970962565,-4.346116894701426,8.818871844457075,-1.5881885838889531,7300.12129993486,5179.859254484808,13057.286114072494,0.1004755796908315,0.0713278129696846,1.4368598741072672e-05,0.0360585601400827,-0.0001328630667583,0.1013907179716123,-0.0004433389569759,0.0712334931130705,-0.0006785063029205,0.1064775897144516,0.0648965463042259,0.066420167684555,,,,,,,,,,,,,,,,,,,103h_denoised_engine_features.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0021395360670094215,104h_denoised_bispectrum.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.228612607901546,0.041979951893455554,0.17969973561355013,0.0,2249.253209732427,8.761290142176493,2.0,2.0,,,,,,,,,,,104h_denoised_bispectrum_features.csv
,healthy,-144.28035625663654,45.03491968903733,-7.734830623521884,36.87614937671382,-14.107666632237748,26.087614040019883,-3.764871817531388,3.84449285687376,-0.1237336339035617,15.569870863345344,-1.4297913317532454,10.558991609987489,2.4264459678313988,7465.729528094248,5173.0354940607285,13141.091417910447,0.101938341218017,0.0729519501328468,1.0484388721231666e-05,0.0386596327277414,-0.0001198388978193,0.1039502047629396,0.0001025514367952,0.0686440277986955,-0.0002530063344634,0.1116320101539977,0.0658431649208068,0.0664480328559875,,,,,,,,,,,,,,,,,,,104h_denoised_engine_features.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0022312825229716528,105h_denoised_bispectrum.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.582796407937652,0.01464424304795605,0.055014273092755445,0.0,214.06640067336463,8.885304101134029,1.0,75.0,,,,,,,,,,,105h_denoised_bispectrum_features.csv
,healthy,-162.4120432234763,52.042641732940496,-11.128554768211965,34.171440988026774,-10.661253592102726,29.118473878858016,-7.883935856963126,0.6613784647624599,3.5892070964142397,14.783912286117683,-3.156884669874348,12.27904554133687,1.7173293411699797,7162.4331853806125,5248.979448245857,13009.81143390192,0.0955761094083155,0.0549863204360008,-1.7100707679583064e-05,0.0232665617248143,0.0001668350214334,0.0748335665718235,0.0003667321504349,0.0462895642437692,0.0001752189844335,0.0982988964333195,0.0510372854769229,0.0542515665292739,,,,,,,,,,,,,,,,,,,105h_denoised_engine_features.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01074883019228232,106h_denoised_bispectrum.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.992191123844219,0.042388583927146735,0.1652028871606486,0.0,1921.2852247678463,8.830593860100317,29.0,74.0,,,,,,,,,,,106h_denoised_bispectrum_features.csv
,healthy,-134.08492262942627,50.70444540604351,-11.316482527466276,33.56051827865157,-10.451250047145196,29.12657400257739,-7.83016458466808,1.2102680304152862,5.258168720469144,15.89211060311023,-0.7944984906960687,13.371101901444248,1.8634465058351717,7179.331084877934,5265.002046990154,13048.440831556503,0.0936229844083155,0.0742735862731933,-5.063635994174479e-06,0.0326198524940682,0.000316759940155,0.1009934706567013,-0.0012023508949825,0.0596783039523543,0.000466846983264,0.1311807301772478,0.0695203095674514,0.0748898237943649,,,,,,,,,,,,,,,,,,,106h_denoised_engine_features.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003013038156185422,107h_denoised_bispectrum.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.584559754354872,0.041241864236600645,0.1599684465104269,0.0,1802.529735115177,8.846348737306245,1.0,1.0,,,,,,,,,,,107h_denoised_bispectrum_features.csv
,healthy,-124.55668593008956,58.12372140802815,-12.392177962019284,31.70808960684233,-13.07958408605678,30.67545368837573,-8.416274863151381,2.603689810985465,5.753730225796383,15.1505792578268,-2.927998653684282,13.102394066371126,0.8139169168385539,6942.040941569068,5211.522737706114,12732.7092217484,0.0925808318896588,0.0776945948600769,2.7156335289556683e-06,0.0276883642330329,-0.0001104994524049,0.1026215906956301,-4.7344127382775775e-05,0.0596552748223159,0.0004738249732182,0.1491896870788296,0.0736580714583396,0.0808011591434478,,,,,,,,,,,,,,,,,,,107h_denoised_engine_features.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003478062629388249,108h_denoised_bispectrum.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.687639048063251,0.049423335588431615,0.19562141660689955,0.0,2688.881522406537,8.832063929245454,29.0,75.0,,,,,,,,,,,108h_denoised_bispectrum_features.csv
,healthy,-120.14440452885196,54.60279073584184,-14.03241160464273,30.72183437546047,-13.969570549637217,30.250894007973997,-8.985068700907545,0.4759132589630584,4.295987153404731,13.9412905590626,-3.8032142971458818,12.592684179600685,0.7715475187029052,7109.297239387384,5217.755619009403,12938.349546908315,0.1006733908582089,0.0783197060227394,3.835369869322971e-06,0.0308356478384354,5.5556179872978045e-05,0.11207076357216,0.0001030206112872,0.0658549091345842,8.663355624750516e-05,0.1298474731485896,0.0725737363100051,0.075966328382492,,,,,,,,,,,,,,,,,,,108h_denoised_engine_features.csv
