Time(s),OriginalSignal,AmplitudeEnvelope
0.000000000000000000e+00,-1.502075195312500000e-01,0.000000000000000000e+00
2.083333333333333264e-05,-1.544189453125000000e-01,5.621013038429490555e-05
4.166666666666666528e-05,-1.593933105468750000e-01,1.124421348429295792e-04
6.250000000000000130e-05,-1.651000976562500000e-01,1.686960111638947317e-04
8.333333333333333055e-05,-1.719055175781250000e-01,2.249717573275167770e-04
1.041666666666666734e-04,-1.798095703125000000e-01,2.812693715073523405e-04
1.250000000000000026e-04,-2.011108398437500000e-01,3.375888520806250731e-04
1.458333333333333454e-04,-2.372131347656250000e-01,3.939301976499940457e-04
1.666666666666666611e-04,-2.823791503906250000e-01,4.502934070796351307e-04
1.875000000000000039e-04,-3.402404785156250000e-01,5.066784795384793360e-04
2.083333333333333467e-04,-3.677673339843750000e-01,5.630854145401708059e-04
2.291666666666666624e-04,-3.609924316406250000e-01,6.195142119606605489e-04
2.500000000000000052e-04,-3.436889648437500000e-01,6.759648720215074473e-04
2.708333333333333209e-04,-3.041992187500000000e-01,7.324373952400792254e-04
2.916666666666666908e-04,-2.709350585937500000e-01,7.889317823627578974e-04
3.125000000000000065e-04,-2.466430664062500000e-01,8.454480342900916540e-04
3.333333333333333222e-04,-2.073364257812500000e-01,9.019861520094035658e-04
3.541666666666666921e-04,-1.595153808593750000e-01,9.585461365259086413e-04
3.750000000000000078e-04,-1.427917480468750000e-01,1.015127988795619385e-03
3.958333333333333235e-04,-1.583251953125000000e-01,1.071731709670776383e-03
4.166666666666666934e-04,-1.922607421875000000e-01,1.128357299896569138e-03
4.375000000000000091e-04,-2.552185058593750000e-01,1.185004760159739760e-03
4.583333333333333248e-04,-2.977600097656250000e-01,1.241674091171184871e-03
4.791666666666666405e-04,-3.170166015625000000e-01,1.298365293744976803e-03
5.000000000000000104e-04,-3.465576171875000000e-01,1.355078368853230089e-03
5.208333333333333261e-04,-3.747863769531250000e-01,1.411813317665763529e-03
5.416666666666666418e-04,-3.643493652343750000e-01,1.468570141584986995e-03
5.624999999999999575e-04,-3.140258789062500000e-01,1.525348842275126319e-03
5.833333333333333816e-04,-2.323303222656250000e-01,1.582149421663116458e-03
6.041666666666666973e-04,-1.083984375000000000e-01,1.638971881903414796e-03
6.250000000000000130e-04,-4.504394531250000000e-02,1.695816225290332560e-03
6.458333333333333287e-04,-4.901123046875000000e-02,1.752682454122653742e-03
6.666666666666666444e-04,-6.085205078125000000e-02,1.809570570551555799e-03
6.874999999999999601e-04,-1.066589355468750000e-01,1.866480576477136215e-03
7.083333333333333842e-04,-1.252746582031250000e-01,1.923412473515611265e-03
7.291666666666666999e-04,-1.089477539062500000e-01,1.980366263023767160e-03
7.500000000000000156e-04,-1.088867187500000000e-01,2.037341946126096544e-03
7.708333333333333313e-04,-1.099548339843750000e-01,2.094339523717780698e-03
7.916666666666666470e-04,-1.124267578125000000e-01,2.151358996460513411e-03
8.124999999999999627e-04,-1.216735839843750000e-01,2.208400364781011940e-03
8.333333333333333868e-04,-1.261291503906250000e-01,2.265463628876681311e-03
8.541666666666667025e-04,-1.270141601562500000e-01,2.322548788725752912e-03
8.750000000000000182e-04,-1.342163085937500000e-01,2.379655844097722760e-03
8.958333333333333339e-04,-1.464538574218750000e-01,2.436784794562294864e-03
9.166666666666666496e-04,-1.599121093750000000e-01,2.493935639504592152e-03
9.374999999999999653e-04,-1.763305664062500000e-01,2.551108378148710977e-03
9.583333333333332810e-04,-1.758728027343750000e-01,2.608303009588437867e-03
9.791666666666665967e-04,-1.563720703125000000e-01,2.665519532823329169e-03
1.000000000000000021e-03,-1.282043457031250000e-01,2.722757946786145272e-03
1.020833333333333228e-03,-8.581542968750000000e-02,2.780018250359251979e-03
1.041666666666666652e-03,-3.881835937500000000e-02,2.837300442379093492e-03
1.062500000000000076e-03,1.214599609375000000e-02,2.894604521634401312e-03
1.083333333333333284e-03,7.702636718750000000e-02,2.951930486859339481e-03
1.104166666666666708e-03,1.540222167968750000e-01,3.009278336729326059e-03
1.124999999999999915e-03,1.820678710937500000e-01,3.066648069861631614e-03
1.145833333333333339e-03,1.565856933593750000e-01,3.124039684802556571e-03
1.166666666666666763e-03,1.054077148437500000e-01,3.181453180004469115e-03
1.187499999999999971e-03,1.153564453125000000e-02,3.238888553797776831e-03
1.208333333333333395e-03,-4.110717773437500000e-02,3.296345804366771545e-03
1.229166666666666602e-03,-4.602050781250000000e-02,3.353824929715038504e-03
1.250000000000000026e-03,-5.871582031250000000e-02,3.411325927623113947e-03
1.270833333333333233e-03,-5.834960937500000000e-02,3.468848795615681914e-03
1.291666666666666657e-03,-6.329345703125000000e-02,3.526393530943088168e-03
1.312500000000000082e-03,-7.879638671875000000e-02,3.583960130578058966e-03
1.333333333333333289e-03,-7.916259765625000000e-02,3.641548591219279356e-03
1.354166666666666713e-03,-6.900024414062500000e-02,3.699158909294374305e-03
1.374999999999999920e-03,-7.742309570312500000e-02,3.756791080959613355e-03
1.395833333333333344e-03,-1.030883789062500000e-01,3.814445102106169948e-03
1.416666666666666768e-03,-1.349182128906250000e-01,3.872120968386362581e-03
1.437499999999999976e-03,-1.794128417968750000e-01,3.929818675260175753e-03
1.458333333333333400e-03,-1.984252929687500000e-01,3.987538218043563780e-03
1.479166666666666607e-03,-1.885681152343750000e-01,4.045279591952588225e-03
1.500000000000000031e-03,-1.732177734375000000e-01,4.103042792120709624e-03
1.520833333333333239e-03,-1.424560546875000000e-01,4.160827813596997687e-03
1.541666666666666663e-03,-1.156005859375000000e-01,4.218634651325857583e-03
1.562500000000000087e-03,-9.533691406250000000e-02,4.276463300120787042e-03
1.583333333333333294e-03,-6.399536132812500000e-02,4.334313754632469588e-03
1.604166666666666718e-03,-2.627563476562500000e-02,4.392186009322232403e-03
1.624999999999999925e-03,-6.866455078125000000e-03,4.450080058425375136e-03
1.645833333333333350e-03,-6.164550781250000000e-03,4.507995895900469147e-03
1.666666666666666774e-03,-1.599121093750000000e-02,4.565933515370915532e-03
1.687499999999999981e-03,-4.287719726562500000e-02,4.623892910078726028e-03
1.708333333333333405e-03,-5.792236328125000000e-02,4.681874072869908823e-03
1.729166666666666612e-03,-5.960083007812500000e-02,4.739876996211762027e-03
1.750000000000000036e-03,-6.777954101562500000e-02,4.797901672215841400e-03
1.770833333333333244e-03,-7.580566406250000000e-02,4.855948092656441235e-03
1.791666666666666668e-03,-8.132934570312500000e-02,4.914016248982527521e-03
1.812500000000000092e-03,-8.578491210937500000e-02,4.972106132332941054e-03
1.833333333333333299e-03,-8.523559570312500000e-02,5.030217733549524096e-03
1.854166666666666723e-03,-7.913208007812500000e-02,5.088351043189041391e-03
1.874999999999999931e-03,-7.333374023437500000e-02,5.146506051527955858e-03
1.895833333333333355e-03,-6.701660156250000000e-02,5.204682748565408849e-03
1.916666666666666562e-03,-5.657958984375000000e-02,5.262881124022922644e-03
1.937499999999999986e-03,-4.287719726562500000e-02,5.321101167342611946e-03
1.958333333333333193e-03,-2.859497070312500000e-02,5.379342867685690290e-03
1.979166666666666834e-03,-1.345825195312500000e-02,5.437606213925016800e-03
2.000000000000000042e-03,3.509521484375000000e-03,5.495891194637344580e-03
2.020833333333333249e-03,2.188110351562500000e-02,5.554197798091391018e-03
2.041666666666666456e-03,2.770996093750000000e-02,5.612526012233522849e-03
2.062500000000000097e-03,1.953125000000000000e-02,5.670875824665396435e-03
2.083333333333333304e-03,3.448486328125000000e-03,5.729247222611450786e-03
2.104166666666666512e-03,-2.459716796875000000e-02,5.787640192887895038e-03
2.125000000000000153e-03,-3.851318359375000000e-02,5.846054721888396984e-03
2.145833333333333360e-03,-3.625488281250000000e-02,5.904490795602571757e-03
2.166666666666666567e-03,-1.824951171875000000e-02,5.962948399650568748e-03
2.187500000000000208e-03,2.371215820312500000e-02,6.021427519326313926e-03
2.208333333333333415e-03,6.317138671875000000e-02,6.079928139638359104e-03
2.229166666666666623e-03,1.021118164062500000e-01,6.138450245344476662e-03
2.249999999999999830e-03,1.502075195312500000e-01,6.196993820990121839e-03
2.270833333333333471e-03,2.025451660156250000e-01,6.255558850948693059e-03
2.291666666666666678e-03,2.313842773437500000e-01,6.314145319476397768e-03
2.312499999999999886e-03,2.338867187500000000e-01,6.372753210771294613e-03
2.333333333333333526e-03,2.191162109375000000e-01,6.431382509024287375e-03
2.354166666666666734e-03,1.783752441406250000e-01,6.490033198462656985e-03
2.374999999999999941e-03,1.412963867187500000e-01,6.548705263379886628e-03
