envelope_mean,envelope_std,envelope_variance,envelope_skewness,envelope_kurtosis,envelope_median,envelope_min,envelope_max,envelope_range,envelope_p25,envelope_p75,envelope_p90,envelope_p95,peak_count,peak_mean_height,peak_max_height,peak_std_height,mean_rate_of_change,std_rate_of_change,max_rate_of_change,dominant_freq,dominant_freq_magnitude,energy_0_5Hz,energy_5_10Hz,energy_10_20Hz,envelope_rms,zero_crossing_rate,filename,filepath,duration,sample_rate,label,label_name
0.5043667599273429,0.14030511954478944,0.019685526570477653,0.10943497659409683,1.349676913622302,0.5042165999141104,0.0,1.0,1.0,0.4132391701715604,0.5904051460229528,0.667367578329745,0.7236885569709071,22.0,0.644416428669663,1.0,0.11055650092188485,6.906489341826456e-05,4.778368287167371e-05,0.0004920564540630279,0.46558321572507316,0.07749401464220798,1.6820653575768751,0.36392406951012707,0.10817334841004872,0.5235182471414761,0.00020854248204352232,01Label.wav,.\01Label.wav,4.2956875,48000,0,Healthy
0.7761692807195585,0.07832758912095132,0.006135211217500571,-2.2530921023388606,18.824024461025505,0.774280072943521,0.0,1.0,1.0,0.7334164292404763,0.8180614347190509,0.8638886830569026,0.8883855925161604,8.0,0.8794441234328425,1.0,0.05814408496914315,2.192838465991954e-05,2.9858098306749207e-05,0.00031659595261541995,0.4,0.04948018703744751,1.9633126795991327,0.19037932872284327,0.17011153112875985,0.7801115071258834,0.00013333333333333334,02Diesel_healthy.wav,.\02Diesel_healthy.wav,5.0,48000,0,Healthy
0.8138689629399227,0.08627269222928534,0.007442977424488991,-2.050145884234102,14.387906025283218,0.8183891258423865,0.0,1.0,1.0,0.7589838237911508,0.8675354652571747,0.9171146133077027,0.9388340905628055,10.0,0.9288278322725929,1.0,0.039189718868520025,2.5372115124775297e-05,3.239224973499781e-05,0.0003439216908396811,0.4,0.048579690621629826,2.111346078897106,0.1992286435078128,0.1750565722200862,0.8184287789792062,0.000125,02Diesel_healthy1.wav,.\02Diesel_healthy1.wav,5.0,48000,0,Healthy
0.19724896950119253,0.06689830190199852,0.004475382797370939,3.5774120574041395,33.40210956408479,0.19188291492481713,0.0,1.0,1.0,0.16396530540343052,0.22341572391841955,0.25522179620013447,0.2921431002315986,0.0,0.0,0.0,0.0,2.9586865290875102e-05,3.625842171464693e-05,0.00044749100676466647,9.259259259259258,0.031191790663506545,0.6654619091910617,0.21190668358491807,0.20339208014416713,0.2082847540427607,0.0002467341372380132,02Label.wav,.\02Label.wav,4.644,48000,0,Healthy
0.7974774557891954,0.07659347544825254,0.005866560481242065,-1.338210144939352,14.36954467197502,0.7874976654062124,0.0,1.0,1.0,0.753024712256414,0.8343424813229905,0.8945927182160558,0.9421431137299489,8.0,0.9183456069219903,1.0,0.05424785161922975,1.9211903070464206e-05,3.946950792888659e-05,0.0005317567707097359,0.6000000000000001,0.03456390716279024,2.0244073316445284,0.19453829826856017,0.18839103722370634,0.8011472105507514,9.583333333333334e-05,03Label.wav,.\03Label.wav,5.0,48000,0,Healthy
0.07911827752547027,0.05911823456893272,0.0034949656585473517,8.776622238292092,104.465831488264,0.07432452548369223,0.0,1.0,1.0,0.05872708905063896,0.08938683979997643,0.10768834890358811,0.11765932053407799,0.0,0.0,0.0,0.0,1.0608148814293674e-05,3.509402611450329e-05,0.00044283841288605963,2.0,0.017332027077928355,0.4417642693369198,0.20976477471485275,0.2147193118171119,0.09876572025325735,8.75e-05,04Label-2.wav,.\04Label-2.wav,5.0,48000,0,Healthy
0.12223215791550376,0.05907221109292362,0.0034895261234069285,7.792221685469592,90.31067989964662,0.12291888688955102,0.0,1.0,1.0,0.10377151065798929,0.1381981250322213,0.1513641922260949,0.15929531051109466,0.0,0.0,0.0,0.0,1.1553526223142088e-05,3.2593552695844215e-05,0.00040366249285939126,2.4000000000000004,0.025239096363375273,0.5338674826750903,0.1911167364647758,0.19507628368830646,0.13575797049192942,0.00011666666666666667,05Label.wav,.\05Label.wav,5.0,48000,0,Healthy
0.3255032330369825,0.12477487418322902,0.015568769227440632,1.2824793641260297,3.56633860643095,0.31329421992063916,0.0,1.0,1.0,0.2596263679082262,0.3664095768570452,0.458859664856326,0.59603291866304,16.0,0.6458764669905359,1.0,0.13075335293958035,1.8420928469846518e-05,2.167356290132755e-05,0.0002588731506003028,0.03259735744089012,0.04837139172260555,2.2983337470139014,0.24102692407009696,0.04477190110431846,0.34859880083696326,7.87769471488178e-05,eco_healthy.wav,.\eco_healthy.wav,30.677333333333333,48000,0,Healthy
0.3255032330369825,0.12477487418322902,0.015568769227440632,1.2824793641260297,3.56633860643095,0.31329421992063916,0.0,1.0,1.0,0.2596263679082262,0.3664095768570452,0.458859664856326,0.59603291866304,16.0,0.6458764669905359,1.0,0.13075335293958035,1.8420928469846518e-05,2.167356290132755e-05,0.0002588731506003028,0.03259735744089012,0.04837139172260555,2.2983337470139014,0.24102692407009696,0.04477190110431846,0.34859880083696326,7.87769471488178e-05,eco_healthy_new.wav,.\eco_healthy_new.wav,30.677333333333333,48000,0,Healthy
0.3959090028519175,0.09340820721195743,0.008725093174551975,1.1568962256400819,6.097118902388113,0.39096626183626443,0.0,1.0,1.0,0.34601181937807657,0.4388779456075672,0.4936328521944747,0.544900021943643,25.0,0.5866275136223081,1.0,0.10658683650396134,2.0440339430635763e-05,2.1609256073768258e-05,0.0005583162384352747,0.03241701244813278,0.03493197805871549,2.100529219641613,0.25920741637347744,0.10153024285348147,0.4067788486558165,0.00010062780947441217,ecosport_healthy_diesel.wav,.\ecosport_healthy_diesel.wav,30.848,48000,0,Healthy
